"Book Name","Author(s)","Language","Physically Exists","Status","Notes"
"Your Money or Your Life","Vicki Robin & Joe Dominguez","English","true","completed","Life energy = money; frugality; values-aligned spending; deep expense tracking."
"The Millionaire Next Door","Thomas J. Stanley & William D. Danko","English","true","completed","Wealth = Assets − Liabilities; frugality and stealth wealth."
"I Will Teach You to Be Rich","Ramit Sethi","English","true","completed","6-week actionable plan; automation; guilt-free spending; conscious financial systems."
"The Little Book of Common Sense Investing","John C. Bogle","English","true","completed","Index fund investing; cost reduction; ""stay the course""; passive investing."
"The Total Money Makeover","Dave Ramsey","English","true","completed","7 baby steps to debt freedom; emergency fund; zero-debt lifestyle; faith-based."
"The Simple Path to Wealth","JL Collins","English","true","completed","Index funds; “F-You Money”; FIRE-oriented investing philosophy."
"Behavioral Investment Counseling","Grayson Adams","English","true","in_progress","Bias-aware investing; behavior over market predictions; technical but practical."
"Unshakeable","Tony Robbins (with Peter Mallouk)","English","true","completed","Staying calm in markets; diversification; financial resilience and mindset."
"The Millionaire Mind","Thomas J. Stanley","English","true","completed","Psychological traits of millionaires; education, frugality, discipline."
"Die With Zero","Bill Perkins","English","true","completed","Life energy ROI; spending well over a lifetime; experience-first approach."
"Broke Millennial","Erin Lowry","English","true","completed","Beginner-friendly; budgeting, debt, credit, and money conversations."
"The Barefoot Investor","Scott Pape","English","true","completed","Straightforward, practical personal finance from an Australian perspective."
"Financial Freedom","Grant Sabatier","English","true","completed","FIRE-focused; earn more, save more, invest early; life optimization."
"Money: Master the Game","Tony Robbins","English","true","completed","7 steps to financial freedom; interviews with top investors."
"Smart Women Finish Rich","David Bach","English","true","completed","Financial education for women; values-based goals and automated systems."
